,Ad_exchange,slot,bidding_price,paying_price,advertiser_id
42801,2,2,300,70,1458
42847,2,0,300,59,1458
42852,2,1,300,95,1458
42857,2,0,300,101,1458
42859,2,0,300,59,1458
42860,2,1,300,89,1458
42861,2,1,300,122,1458
42863,2,1,300,88,1458
42875,2,2,300,141,1458
42881,2,0,300,280,1458
42900,2,2,300,50,1458
42902,2,0,300,59,1458
42904,2,2,300,16,1458
42929,2,1,300,45,1458
42932,2,0,300,59,1458
42936,2,1,300,128,1458
42939,2,1,300,40,1458
42945,2,2,300,40,1458
42963,2,2,300,10,1458
42972,2,2,300,112,1458
42979,2,0,300,59,1458
42986,2,1,300,34,1458
42990,2,2,300,40,1458
42993,2,0,300,59,1458
42999,2,1,300,40,1458
43019,2,1,300,40,1458
43024,2,1,300,31,1458
43026,2,1,300,300,1458
43042,2,2,300,40,1458
43074,2,1,300,67,1458
43075,2,2,300,18,1458
43080,2,2,300,20,1458
43098,2,2,300,40,1458
43101,2,2,300,40,1458
43119,2,2,300,40,1458
43142,2,0,300,148,1458
43149,2,2,300,4,1458
43150,2,1,300,58,1458
43167,2,0,300,59,1458
43177,2,0,300,162,1458
43184,2,2,300,18,1458
43185,2,2,300,50,1458
43198,2,1,300,28,1458
43201,2,0,300,59,1458
43205,2,2,300,6,1458
43259,2,2,300,32,1458
43272,2,1,300,40,1458
43274,2,2,300,40,1458
43282,2,2,300,18,1458
43291,2,2,300,41,1458
43331,2,2,300,40,1458
43361,2,2,300,28,1458
43369,2,2,300,42,1458
43406,2,2,300,12,1458
43413,2,2,300,36,1458
43414,2,2,300,164,1458
43432,2,1,300,64,1458
43461,2,1,300,6,1458
43487,2,2,300,32,1458
43528,2,2,300,16,1458
43535,2,1,300,128,1458
43540,2,2,300,42,1458
43554,2,1,300,47,1458
43559,2,2,300,36,1458
43567,2,1,300,29,1458
43580,2,2,300,154,1458
43582,2,1,300,40,1458
43591,2,1,300,99,1458
43594,2,1,300,40,1458
43595,2,2,300,52,1458
43600,2,1,300,235,1458
43601,2,2,300,102,1458
43611,2,0,300,40,1458
43615,2,2,300,12,1458
43616,2,1,300,15,1458
43617,2,2,300,224,1458
43620,2,2,300,40,1458
43622,2,2,300,44,1458
43626,2,2,300,226,1458
43628,2,2,300,16,1458
43631,2,2,300,20,1458
43632,2,2,300,40,1458
43633,2,2,300,40,1458
43635,2,2,300,42,1458
43636,2,0,300,59,1458
43638,2,2,300,45,1458
43641,2,2,300,40,1458
43643,2,1,300,84,1458
43644,2,1,300,40,1458
43645,2,1,300,47,1458
43647,2,2,300,40,1458
43648,2,2,300,149,1458
43650,2,2,300,44,1458
43651,2,0,300,49,1458
43652,2,1,300,8,1458
43653,2,1,300,37,1458
43654,2,1,300,52,1458
43655,2,2,300,7,1458
43656,2,0,300,59,1458
43657,2,1,300,193,1458
43658,2,2,300,55,1458
43660,2,2,300,144,1458
43661,2,1,300,34,1458
43662,2,0,300,68,1458
43663,2,1,300,46,1458
43667,2,0,300,59,1458
43668,2,2,300,118,1458
43669,2,0,300,83,1458
43670,2,0,300,40,1458
43671,2,2,300,77,1458
43673,2,2,300,18,1458
43674,2,2,300,119,1458
43675,2,0,300,59,1458
43676,2,2,300,32,1458
43677,2,2,300,40,1458
43678,2,2,300,40,1458
43679,2,2,300,10,1458
43680,2,2,300,40,1458
43681,2,2,300,40,1458
43682,2,0,300,118,1458
43683,2,1,300,64,1458
43684,2,2,300,17,1458
43685,2,2,300,46,1458
43686,2,2,300,135,1458
43687,2,1,300,250,1458
43688,2,1,300,98,1458
43689,2,0,300,59,1458
